,Brand,Packaging_Rating,ALL OVER,Price,Count,Courier_Rating,FeedBack_Rating,Product_Rating
950,iZED,ShubhEnterprises,ShubhEnterprises,ShubhEnterprises,ShubhEnterprises,ShubhEnterprises,ShubhEnterprises,ShubhEnterprises
951,incho,Aster Commerce,Aster Commerce,Aster Commerce,Aster Commerce,Aster Commerce,Aster Commerce,Aster Commerce
952,jungal,vinod store,vinod store,vinod store,vinod store,vinod store,vinod store,vinod store
953,junos,1699 sikh store,1699 sikh store,CRAFTS STOCK,JUNOS,1699 sikh store,1699 sikh store,1699 sikh store
954,king shine,king shine industries,king shine industries,king shine industries,king shine industries,king shine industries,king shine industries,king shine industries
955,lovelyhome,lovelyhome Mall,lovelyhome Mall,lovelyhome Mall,lovelyhome Mall,lovelyhome Mall,lovelyhome Mall,lovelyhome Mall
956,metors,star enterprises963,Ergode India,star enterprises963,star enterprises963,star enterprises963,star enterprises963,star enterprises963
957,mi,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India
958,mtuggar,mtuggar,mtuggar,mtuggar,mtuggar,mtuggar,mtuggar,mtuggar
959,oyrl,4V international,4V international,A2ZTraders,4V international,4V international,A2ZTraders,A2ZTraders
960,rts,Radhey Techno Service,Radhey Techno Service,Radhey Techno Service,Radhey Techno Service,Radhey Techno Service,Radhey Techno Service,Radhey Techno Service
961,smarteefi,Smarteefi,Smarteefi,Smarteefi,Smarteefi,Smarteefi,Smarteefi,Smarteefi
962,stealkart,Shopper's Gallery Zone(100% CUSTOMER SATISFACTION),Shopper's Gallery Zone(100% CUSTOMER SATISFACTION),Shopper's Gallery Zone(100% CUSTOMER SATISFACTION),Shopper's Gallery Zone(100% CUSTOMER SATISFACTION),Shopper's Gallery Zone(100% CUSTOMER SATISFACTION),Shopper's Gallery Zone(100% CUSTOMER SATISFACTION),Shopper's Gallery Zone(100% CUSTOMER SATISFACTION)
963,vini yoga mat,dimpi enterprises,dimpi enterprises,dimpi enterprises,PK Fitness Yoga Mat Pvt Ltd,dimpi enterprises,dimpi enterprises,dimpi enterprises
964,wildmount,RATRADERS,RATRADERS,RATRADERS,RATRADERS,RATRADERS,RATRADERS,RATRADERS
965,zhart,ToolsMart,ToolsMart,ToolsMart,ToolsMart,ToolsMart,ToolsMart,ToolsMart
